2023-10-03 14:29:26 startup archives install
2023-10-03 14:29:26 install base-passwd:arm64 <none> 3.5.51
2023-10-03 14:29:26 status half-installed base-passwd:arm64 3.5.51
2023-10-03 14:29:26 status unpacked base-passwd:arm64 3.5.51
2023-10-03 14:29:26 configure base-passwd:arm64 3.5.51 3.5.51
2023-10-03 14:29:26 status half-configured base-passwd:arm64 3.5.51
2023-10-03 14:29:26 status installed base-passwd:arm64 3.5.51
2023-10-03 14:29:26 startup archives install
2023-10-03 14:29:26 install base-files:arm64 <none> 11.1+deb11u7
2023-10-03 14:29:26 status half-installed base-files:arm64 11.1+deb11u7
2023-10-03 14:29:26 status unpacked base-files:arm64 11.1+deb11u7
2023-10-03 14:29:26 configure base-files:arm64 11.1+deb11u7 11.1+deb11u7
2023-10-03 14:29:26 status half-configured base-files:arm64 11.1+deb11u7
2023-10-03 14:29:26 status installed base-files:arm64 11.1+deb11u7
2023-10-03 14:29:26 startup archives install
2023-10-03 14:29:26 upgrade dpkg 1.20.12 1.20.12
2023-10-03 14:29:26 status half-configured dpkg 1.20.12
2023-10-03 14:29:26 status unpacked dpkg 1.20.12
2023-10-03 14:29:26 status half-installed dpkg 1.20.12
2023-10-03 14:29:26 status unpacked dpkg:arm64 1.20.12
2023-10-03 14:29:26 configure dpkg:arm64 1.20.12 1.20.12
2023-10-03 14:29:26 status half-configured dpkg:arm64 1.20.12
2023-10-03 14:29:26 status installed dpkg:arm64 1.20.12
2023-10-03 14:29:26 startup archives install
2023-10-03 14:29:26 install libc6:arm64 <none> 2.31-13+deb11u6
2023-10-03 14:29:26 status half-installed libc6:arm64 2.31-13+deb11u6
2023-10-03 14:29:26 status unpacked libc6:arm64 2.31-13+deb11u6
2023-10-03 14:29:26 configure libc6:arm64 2.31-13+deb11u6 2.31-13+deb11u6
2023-10-03 14:29:26 status half-configured libc6:arm64 2.31-13+deb11u6
2023-10-03 14:29:26 status installed libc6:arm64 2.31-13+deb11u6
2023-10-03 14:29:26 startup archives install
2023-10-03 14:29:26 install perl-base:arm64 <none> 5.32.1-4+deb11u2
2023-10-03 14:29:26 status half-installed perl-base:arm64 5.32.1-4+deb11u2
2023-10-03 14:29:27 status unpacked perl-base:arm64 5.32.1-4+deb11u2
2023-10-03 14:29:27 configure perl-base:arm64 5.32.1-4+deb11u2 5.32.1-4+deb11u2
2023-10-03 14:29:27 status half-configured perl-base:arm64 5.32.1-4+deb11u2
2023-10-03 14:29:27 status installed perl-base:arm64 5.32.1-4+deb11u2
2023-10-03 14:29:27 startup archives install
2023-10-03 14:29:27 install mawk:arm64 <none> 1.3.4.20200120-2
2023-10-03 14:29:27 status half-installed mawk:arm64 1.3.4.20200120-2
2023-10-03 14:29:27 status unpacked mawk:arm64 1.3.4.20200120-2
2023-10-03 14:29:27 configure mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
2023-10-03 14:29:27 status half-configured mawk:arm64 1.3.4.20200120-2
2023-10-03 14:29:27 status installed mawk:arm64 1.3.4.20200120-2
2023-10-03 14:29:27 startup archives install
2023-10-03 14:29:27 install debconf:all <none> 1.5.77
2023-10-03 14:29:27 status half-installed debconf:all 1.5.77
2023-10-03 14:29:27 status unpacked debconf:all 1.5.77
2023-10-03 14:29:27 configure debconf:all 1.5.77 1.5.77
2023-10-03 14:29:27 status half-configured debconf:all 1.5.77
2023-10-03 14:29:27 status installed debconf:all 1.5.77
2023-10-03 14:29:27 startup archives unpack
2023-10-03 14:29:27 install libacl1:arm64 <none> 2.2.53-10
2023-10-03 14:29:27 status half-installed libacl1:arm64 2.2.53-10
2023-10-03 14:29:27 status unpacked libacl1:arm64 2.2.53-10
2023-10-03 14:29:27 install adduser:all <none> 3.118
2023-10-03 14:29:27 status half-installed adduser:all 3.118
2023-10-03 14:29:27 status unpacked adduser:all 3.118
2023-10-03 14:29:27 install apt:arm64 <none> 2.2.4
2023-10-03 14:29:27 status half-installed apt:arm64 2.2.4
2023-10-03 14:29:27 status unpacked apt:arm64 2.2.4
2023-10-03 14:29:27 install libapt-pkg6.0:arm64 <none> 2.2.4
2023-10-03 14:29:27 status half-installed libapt-pkg6.0:arm64 2.2.4
2023-10-03 14:29:27 status unpacked libapt-pkg6.0:arm64 2.2.4
2023-10-03 14:29:27 install libattr1:arm64 <none> 1:2.4.48-6
2023-10-03 14:29:27 status half-installed libattr1:arm64 1:2.4.48-6
2023-10-03 14:29:27 status unpacked libattr1:arm64 1:2.4.48-6
2023-10-03 14:29:27 install libaudit-common:all <none> 1:3.0-2
2023-10-03 14:29:27 status half-installed libaudit-common:all 1:3.0-2
2023-10-03 14:29:27 status unpacked libaudit-common:all 1:3.0-2
2023-10-03 14:29:27 install libaudit1:arm64 <none> 1:3.0-2
2023-10-03 14:29:27 status half-installed libaudit1:arm64 1:3.0-2
2023-10-03 14:29:27 status unpacked libaudit1:arm64 1:3.0-2
2023-10-03 14:29:27 upgrade base-files:arm64 11.1+deb11u7 11.1+deb11u7
2023-10-03 14:29:27 status half-configured base-files:arm64 11.1+deb11u7
2023-10-03 14:29:27 status unpacked base-files:arm64 11.1+deb11u7
2023-10-03 14:29:27 status half-installed base-files:arm64 11.1+deb11u7
2023-10-03 14:29:27 status unpacked base-files:arm64 11.1+deb11u7
2023-10-03 14:29:27 upgrade base-passwd:arm64 3.5.51 3.5.51
2023-10-03 14:29:27 status half-configured base-passwd:arm64 3.5.51
2023-10-03 14:29:27 status unpacked base-passwd:arm64 3.5.51
2023-10-03 14:29:27 status half-installed base-passwd:arm64 3.5.51
2023-10-03 14:29:27 status unpacked base-passwd:arm64 3.5.51
2023-10-03 14:29:27 install bash:arm64 <none> 5.1-2+deb11u1
2023-10-03 14:29:27 status half-installed bash:arm64 5.1-2+deb11u1
2023-10-03 14:29:27 status unpacked bash:arm64 5.1-2+deb11u1
2023-10-03 14:29:27 install libbz2-1.0:arm64 <none> 1.0.8-4
2023-10-03 14:29:27 status half-installed libbz2-1.0:arm64 1.0.8-4
2023-10-03 14:29:27 status unpacked libbz2-1.0:arm64 1.0.8-4
2023-10-03 14:29:27 install libdebconfclient0:arm64 <none> 0.260
2023-10-03 14:29:27 status half-installed libdebconfclient0:arm64 0.260
2023-10-03 14:29:27 status unpacked libdebconfclient0:arm64 0.260
2023-10-03 14:29:27 install coreutils:arm64 <none> 8.32-4
2023-10-03 14:29:27 status half-installed coreutils:arm64 8.32-4
2023-10-03 14:29:28 status unpacked coreutils:arm64 8.32-4
2023-10-03 14:29:28 install dash:arm64 <none> 0.5.11+git20200708+dd9ef66-5
2023-10-03 14:29:28 status half-installed dash:arm64 0.5.11+git20200708+dd9ef66-5
2023-10-03 14:29:28 status unpacked dash:arm64 0.5.11+git20200708+dd9ef66-5
2023-10-03 14:29:28 install libdb5.3:arm64 <none> 5.3.28+dfsg1-0.8
2023-10-03 14:29:28 status half-installed libdb5.3:arm64 5.3.28+dfsg1-0.8
2023-10-03 14:29:28 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.8
2023-10-03 14:29:28 upgrade debconf:all 1.5.77 1.5.77
2023-10-03 14:29:28 status half-configured debconf:all 1.5.77
2023-10-03 14:29:28 status unpacked debconf:all 1.5.77
2023-10-03 14:29:28 status half-installed debconf:all 1.5.77
2023-10-03 14:29:28 status unpacked debconf:all 1.5.77
2023-10-03 14:29:28 install debian-archive-keyring:all <none> 2021.1.1+deb11u1
2023-10-03 14:29:28 status half-installed debian-archive-keyring:all 2021.1.1+deb11u1
2023-10-03 14:29:28 status unpacked debian-archive-keyring:all 2021.1.1+deb11u1
2023-10-03 14:29:28 install debianutils:arm64 <none> 4.11.2
2023-10-03 14:29:28 status half-installed debianutils:arm64 4.11.2
2023-10-03 14:29:28 status unpacked debianutils:arm64 4.11.2
2023-10-03 14:29:28 install diffutils:arm64 <none> 1:3.7-5
2023-10-03 14:29:28 status half-installed diffutils:arm64 1:3.7-5
2023-10-03 14:29:28 status unpacked diffutils:arm64 1:3.7-5
2023-10-03 14:29:28 upgrade dpkg:arm64 1.20.12 1.20.12
2023-10-03 14:29:28 status half-configured dpkg:arm64 1.20.12
2023-10-03 14:29:28 status unpacked dpkg:arm64 1.20.12
2023-10-03 14:29:28 status half-installed dpkg:arm64 1.20.12
2023-10-03 14:29:28 status unpacked dpkg:arm64 1.20.12
2023-10-03 14:29:28 install e2fsprogs:arm64 <none> 1.46.2-2
2023-10-03 14:29:28 status half-installed e2fsprogs:arm64 1.46.2-2
2023-10-03 14:29:28 status unpacked e2fsprogs:arm64 1.46.2-2
2023-10-03 14:29:28 install libcom-err2:arm64 <none> 1.46.2-2
2023-10-03 14:29:28 status half-installed libcom-err2:arm64 1.46.2-2
2023-10-03 14:29:28 status unpacked libcom-err2:arm64 1.46.2-2
2023-10-03 14:29:28 install libext2fs2:arm64 <none> 1.46.2-2
2023-10-03 14:29:28 status half-installed libext2fs2:arm64 1.46.2-2
2023-10-03 14:29:28 status unpacked libext2fs2:arm64 1.46.2-2
2023-10-03 14:29:28 install libss2:arm64 <none> 1.46.2-2
2023-10-03 14:29:28 status half-installed libss2:arm64 1.46.2-2
2023-10-03 14:29:28 status unpacked libss2:arm64 1.46.2-2
2023-10-03 14:29:28 install logsave:arm64 <none> 1.46.2-2
2023-10-03 14:29:28 status half-installed logsave:arm64 1.46.2-2
2023-10-03 14:29:28 status unpacked logsave:arm64 1.46.2-2
2023-10-03 14:29:28 install findutils:arm64 <none> 4.8.0-1
2023-10-03 14:29:28 status half-installed findutils:arm64 4.8.0-1
2023-10-03 14:29:28 status unpacked findutils:arm64 4.8.0-1
2023-10-03 14:29:28 install gcc-10-base:arm64 <none> 10.2.1-6
2023-10-03 14:29:28 status half-installed gcc-10-base:arm64 10.2.1-6
2023-10-03 14:29:28 status unpacked gcc-10-base:arm64 10.2.1-6
2023-10-03 14:29:28 install libgcc-s1:arm64 <none> 10.2.1-6
2023-10-03 14:29:28 status half-installed libgcc-s1:arm64 10.2.1-6
2023-10-03 14:29:28 status unpacked libgcc-s1:arm64 10.2.1-6
2023-10-03 14:29:28 install libstdc++6:arm64 <none> 10.2.1-6
2023-10-03 14:29:28 status half-installed libstdc++6:arm64 10.2.1-6
2023-10-03 14:29:28 status unpacked libstdc++6:arm64 10.2.1-6
2023-10-03 14:29:28 install gcc-9-base:arm64 <none> 9.3.0-22
2023-10-03 14:29:28 status half-installed gcc-9-base:arm64 9.3.0-22
2023-10-03 14:29:28 status unpacked gcc-9-base:arm64 9.3.0-22
2023-10-03 14:29:28 install libc-bin:arm64 <none> 2.31-13+deb11u6
2023-10-03 14:29:28 status half-installed libc-bin:arm64 2.31-13+deb11u6
2023-10-03 14:29:28 status unpacked libc-bin:arm64 2.31-13+deb11u6
2023-10-03 14:29:28 upgrade libc6:arm64 2.31-13+deb11u6 2.31-13+deb11u6
2023-10-03 14:29:28 status half-configured libc6:arm64 2.31-13+deb11u6
2023-10-03 14:29:28 status unpacked libc6:arm64 2.31-13+deb11u6
2023-10-03 14:29:28 status half-installed libc6:arm64 2.31-13+deb11u6
2023-10-03 14:29:29 status unpacked libc6:arm64 2.31-13+deb11u6
2023-10-03 14:29:29 install libgmp10:arm64 <none> 2:6.2.1+dfsg-1+deb11u1
2023-10-03 14:29:29 status half-installed libgmp10:arm64 2:6.2.1+dfsg-1+deb11u1
2023-10-03 14:29:29 status unpacked libgmp10:arm64 2:6.2.1+dfsg-1+deb11u1
2023-10-03 14:29:29 install gpgv:arm64 <none> 2.2.27-2+deb11u2
2023-10-03 14:29:29 status half-installed gpgv:arm64 2.2.27-2+deb11u2
2023-10-03 14:29:29 status unpacked gpgv:arm64 2.2.27-2+deb11u2
2023-10-03 14:29:29 install libgnutls30:arm64 <none> 3.7.1-5+deb11u3
2023-10-03 14:29:29 status half-installed libgnutls30:arm64 3.7.1-5+deb11u3
2023-10-03 14:29:29 status unpacked libgnutls30:arm64 3.7.1-5+deb11u3
2023-10-03 14:29:29 install grep:arm64 <none> 3.6-1+deb11u1
2023-10-03 14:29:29 status half-installed grep:arm64 3.6-1+deb11u1
2023-10-03 14:29:29 status unpacked grep:arm64 3.6-1+deb11u1
2023-10-03 14:29:29 install gzip:arm64 <none> 1.10-4+deb11u1
2023-10-03 14:29:29 status half-installed gzip:arm64 1.10-4+deb11u1
2023-10-03 14:29:29 status unpacked gzip:arm64 1.10-4+deb11u1
2023-10-03 14:29:29 install hostname:arm64 <none> 3.23
2023-10-03 14:29:29 status half-installed hostname:arm64 3.23
2023-10-03 14:29:29 status unpacked hostname:arm64 3.23
2023-10-03 14:29:29 install init-system-helpers:all <none> 1.60
2023-10-03 14:29:29 status half-installed init-system-helpers:all 1.60
2023-10-03 14:29:29 status unpacked init-system-helpers:all 1.60
2023-10-03 14:29:29 install libkeyutils1:arm64 <none> 1.6.1-2
2023-10-03 14:29:29 status half-installed libkeyutils1:arm64 1.6.1-2
2023-10-03 14:29:29 status unpacked libkeyutils1:arm64 1.6.1-2
2023-10-03 14:29:29 install libgssapi-krb5-2:arm64 <none> 1.18.3-6+deb11u3
2023-10-03 14:29:29 status half-installed libgssapi-krb5-2:arm64 1.18.3-6+deb11u3
2023-10-03 14:29:29 status unpacked libgssapi-krb5-2:arm64 1.18.3-6+deb11u3
2023-10-03 14:29:29 install libk5crypto3:arm64 <none> 1.18.3-6+deb11u3
2023-10-03 14:29:29 status half-installed libk5crypto3:arm64 1.18.3-6+deb11u3
2023-10-03 14:29:29 status unpacked libk5crypto3:arm64 1.18.3-6+deb11u3
2023-10-03 14:29:29 install libkrb5-3:arm64 <none> 1.18.3-6+deb11u3
2023-10-03 14:29:29 status half-installed libkrb5-3:arm64 1.18.3-6+deb11u3
