2023-09-22 12:58:09 startup archives install
2023-09-22 12:58:09 install base-passwd:amd64 <none> 3.5.46
2023-09-22 12:58:09 status half-installed base-passwd:amd64 3.5.46
2023-09-22 12:58:09 status unpacked base-passwd:amd64 3.5.46
2023-09-22 12:58:09 configure base-passwd:amd64 3.5.46 3.5.46
2023-09-22 12:58:09 status half-configured base-passwd:amd64 3.5.46
2023-09-22 12:58:10 status installed base-passwd:amd64 3.5.46
2023-09-22 12:58:10 startup archives install
2023-09-22 12:58:10 install base-files:amd64 <none> 10.3+deb10u13
2023-09-22 12:58:10 status half-installed base-files:amd64 10.3+deb10u13
2023-09-22 12:58:10 status unpacked base-files:amd64 10.3+deb10u13
2023-09-22 12:58:10 configure base-files:amd64 10.3+deb10u13 10.3+deb10u13
2023-09-22 12:58:10 status half-configured base-files:amd64 10.3+deb10u13
2023-09-22 12:58:11 status installed base-files:amd64 10.3+deb10u13
2023-09-22 12:58:11 startup archives install
2023-09-22 12:58:11 upgrade dpkg 1.19.8 1.19.8
2023-09-22 12:58:11 status half-configured dpkg 1.19.8
2023-09-22 12:58:11 status unpacked dpkg 1.19.8
2023-09-22 12:58:11 status half-installed dpkg 1.19.8
2023-09-22 12:58:11 status unpacked dpkg:amd64 1.19.8
2023-09-22 12:58:11 configure dpkg:amd64 1.19.8 1.19.8
2023-09-22 12:58:11 status half-configured dpkg:amd64 1.19.8
2023-09-22 12:58:11 status installed dpkg:amd64 1.19.8
2023-09-22 12:58:11 startup archives install
2023-09-22 12:58:11 install libc6:amd64 <none> 2.28-10+deb10u1
2023-09-22 12:58:11 status half-installed libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:13 status unpacked libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:13 configure libc6:amd64 2.28-10+deb10u1 2.28-10+deb10u1
2023-09-22 12:58:13 status half-configured libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:13 status installed libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:13 startup archives install
2023-09-22 12:58:13 install perl-base:amd64 <none> 5.28.1-6+deb10u1
2023-09-22 12:58:13 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2023-09-22 12:58:14 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2023-09-22 12:58:14 configure perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2023-09-22 12:58:14 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2023-09-22 12:58:14 status installed perl-base:amd64 5.28.1-6+deb10u1
2023-09-22 12:58:14 startup archives install
2023-09-22 12:58:14 install mawk:amd64 <none> 1.3.3-17+b3
2023-09-22 12:58:14 status half-installed mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:14 status unpacked mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:14 configure mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2023-09-22 12:58:14 status half-configured mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:14 status installed mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:14 startup archives install
2023-09-22 12:58:14 install debconf:all <none> 1.5.71+deb10u1
2023-09-22 12:58:14 status half-installed debconf:all 1.5.71+deb10u1
2023-09-22 12:58:14 status unpacked debconf:all 1.5.71+deb10u1
2023-09-22 12:58:14 configure debconf:all 1.5.71+deb10u1 1.5.71+deb10u1
2023-09-22 12:58:14 status half-configured debconf:all 1.5.71+deb10u1
2023-09-22 12:58:15 status installed debconf:all 1.5.71+deb10u1
2023-09-22 12:58:15 startup archives unpack
2023-09-22 12:58:15 install libacl1:amd64 <none> 2.2.53-4
2023-09-22 12:58:15 status half-installed libacl1:amd64 2.2.53-4
2023-09-22 12:58:15 status unpacked libacl1:amd64 2.2.53-4
2023-09-22 12:58:15 install adduser:all <none> 3.118
2023-09-22 12:58:15 status half-installed adduser:all 3.118
2023-09-22 12:58:15 status unpacked adduser:all 3.118
2023-09-22 12:58:15 install apt:amd64 <none> 1.8.2.3
2023-09-22 12:58:15 status half-installed apt:amd64 1.8.2.3
2023-09-22 12:58:16 status unpacked apt:amd64 1.8.2.3
2023-09-22 12:58:16 install libapt-pkg5.0:amd64 <none> 1.8.2.3
2023-09-22 12:58:16 status half-installed libapt-pkg5.0:amd64 1.8.2.3
2023-09-22 12:58:16 status unpacked libapt-pkg5.0:amd64 1.8.2.3
2023-09-22 12:58:16 install libattr1:amd64 <none> 1:2.4.48-4
2023-09-22 12:58:16 status half-installed libattr1:amd64 1:2.4.48-4
2023-09-22 12:58:16 status unpacked libattr1:amd64 1:2.4.48-4
2023-09-22 12:58:16 install libaudit-common:all <none> 1:2.8.4-3
2023-09-22 12:58:16 status half-installed libaudit-common:all 1:2.8.4-3
2023-09-22 12:58:16 status unpacked libaudit-common:all 1:2.8.4-3
2023-09-22 12:58:16 install libaudit1:amd64 <none> 1:2.8.4-3
2023-09-22 12:58:16 status half-installed libaudit1:amd64 1:2.8.4-3
2023-09-22 12:58:16 status unpacked libaudit1:amd64 1:2.8.4-3
2023-09-22 12:58:17 upgrade base-files:amd64 10.3+deb10u13 10.3+deb10u13
2023-09-22 12:58:17 status half-configured base-files:amd64 10.3+deb10u13
2023-09-22 12:58:17 status unpacked base-files:amd64 10.3+deb10u13
2023-09-22 12:58:17 status half-installed base-files:amd64 10.3+deb10u13
2023-09-22 12:58:17 status unpacked base-files:amd64 10.3+deb10u13
2023-09-22 12:58:17 upgrade base-passwd:amd64 3.5.46 3.5.46
2023-09-22 12:58:17 status half-configured base-passwd:amd64 3.5.46
2023-09-22 12:58:17 status unpacked base-passwd:amd64 3.5.46
2023-09-22 12:58:17 status half-installed base-passwd:amd64 3.5.46
2023-09-22 12:58:17 status unpacked base-passwd:amd64 3.5.46
2023-09-22 12:58:17 install bash:amd64 <none> 5.0-4
2023-09-22 12:58:17 status half-installed bash:amd64 5.0-4
2023-09-22 12:58:17 status unpacked bash:amd64 5.0-4
2023-09-22 12:58:17 install libbz2-1.0:amd64 <none> 1.0.6-9.2~deb10u1
2023-09-22 12:58:17 status half-installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2023-09-22 12:58:17 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2023-09-22 12:58:17 install libdebconfclient0:amd64 <none> 0.249
2023-09-22 12:58:17 status half-installed libdebconfclient0:amd64 0.249
2023-09-22 12:58:17 status unpacked libdebconfclient0:amd64 0.249
2023-09-22 12:58:18 install coreutils:amd64 <none> 8.30-3
2023-09-22 12:58:18 status half-installed coreutils:amd64 8.30-3
2023-09-22 12:58:18 status unpacked coreutils:amd64 8.30-3
2023-09-22 12:58:18 install dash:amd64 <none> 0.5.10.2-5
2023-09-22 12:58:18 status half-installed dash:amd64 0.5.10.2-5
2023-09-22 12:58:18 status unpacked dash:amd64 0.5.10.2-5
2023-09-22 12:58:18 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.5
2023-09-22 12:58:18 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.5
2023-09-22 12:58:19 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2023-09-22 12:58:19 upgrade debconf:all 1.5.71+deb10u1 1.5.71+deb10u1
2023-09-22 12:58:19 status half-configured debconf:all 1.5.71+deb10u1
2023-09-22 12:58:19 status unpacked debconf:all 1.5.71+deb10u1
2023-09-22 12:58:19 status half-installed debconf:all 1.5.71+deb10u1
2023-09-22 12:58:19 status unpacked debconf:all 1.5.71+deb10u1
2023-09-22 12:58:19 install debian-archive-keyring:all <none> 2019.1+deb10u1
2023-09-22 12:58:19 status half-installed debian-archive-keyring:all 2019.1+deb10u1
2023-09-22 12:58:19 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2023-09-22 12:58:20 install debianutils:amd64 <none> 4.8.6.1
2023-09-22 12:58:20 status half-installed debianutils:amd64 4.8.6.1
2023-09-22 12:58:20 status unpacked debianutils:amd64 4.8.6.1
2023-09-22 12:58:20 install diffutils:amd64 <none> 1:3.7-3
2023-09-22 12:58:20 status half-installed diffutils:amd64 1:3.7-3
2023-09-22 12:58:20 status unpacked diffutils:amd64 1:3.7-3
2023-09-22 12:58:20 upgrade dpkg:amd64 1.19.8 1.19.8
2023-09-22 12:58:20 status half-configured dpkg:amd64 1.19.8
2023-09-22 12:58:20 status unpacked dpkg:amd64 1.19.8
2023-09-22 12:58:20 status half-installed dpkg:amd64 1.19.8
2023-09-22 12:58:20 status unpacked dpkg:amd64 1.19.8
2023-09-22 12:58:20 install e2fsprogs:amd64 <none> 1.44.5-1+deb10u3
2023-09-22 12:58:20 status half-installed e2fsprogs:amd64 1.44.5-1+deb10u3
2023-09-22 12:58:20 status unpacked e2fsprogs:amd64 1.44.5-1+deb10u3
2023-09-22 12:58:21 install libcom-err2:amd64 <none> 1.44.5-1+deb10u3
2023-09-22 12:58:21 status half-installed libcom-err2:amd64 1.44.5-1+deb10u3
2023-09-22 12:58:21 status unpacked libcom-err2:amd64 1.44.5-1+deb10u3
2023-09-22 12:58:21 install libext2fs2:amd64 <none> 1.44.5-1+deb10u3
2023-09-22 12:58:21 status half-installed libext2fs2:amd64 1.44.5-1+deb10u3
2023-09-22 12:58:21 status unpacked libext2fs2:amd64 1.44.5-1+deb10u3
2023-09-22 12:58:21 install libss2:amd64 <none> 1.44.5-1+deb10u3
2023-09-22 12:58:21 status half-installed libss2:amd64 1.44.5-1+deb10u3
2023-09-22 12:58:21 status unpacked libss2:amd64 1.44.5-1+deb10u3
2023-09-22 12:58:21 install findutils:amd64 <none> 4.6.0+git+20190209-2
2023-09-22 12:58:21 status half-installed findutils:amd64 4.6.0+git+20190209-2
2023-09-22 12:58:21 status unpacked findutils:amd64 4.6.0+git+20190209-2
2023-09-22 12:58:21 install gcc-8-base:amd64 <none> 8.3.0-6
2023-09-22 12:58:21 status half-installed gcc-8-base:amd64 8.3.0-6
2023-09-22 12:58:21 status unpacked gcc-8-base:amd64 8.3.0-6
2023-09-22 12:58:21 install libgcc1:amd64 <none> 1:8.3.0-6
2023-09-22 12:58:21 status half-installed libgcc1:amd64 1:8.3.0-6
2023-09-22 12:58:21 status unpacked libgcc1:amd64 1:8.3.0-6
2023-09-22 12:58:21 install libstdc++6:amd64 <none> 8.3.0-6
2023-09-22 12:58:21 status half-installed libstdc++6:amd64 8.3.0-6
2023-09-22 12:58:22 status unpacked libstdc++6:amd64 8.3.0-6
2023-09-22 12:58:22 install libc-bin:amd64 <none> 2.28-10+deb10u1
2023-09-22 12:58:22 status half-installed libc-bin:amd64 2.28-10+deb10u1
2023-09-22 12:58:22 status unpacked libc-bin:amd64 2.28-10+deb10u1
2023-09-22 12:58:22 upgrade libc6:amd64 2.28-10+deb10u1 2.28-10+deb10u1
2023-09-22 12:58:22 status half-configured libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:22 status unpacked libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:22 status half-installed libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:24 status unpacked libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:24 install libgmp10:amd64 <none> 2:6.1.2+dfsg-4+deb10u1
2023-09-22 12:58:24 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4+deb10u1
2023-09-22 12:58:24 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4+deb10u1
2023-09-22 12:58:24 install gpgv:amd64 <none> 2.2.12-1+deb10u2
2023-09-22 12:58:24 status half-installed gpgv:amd64 2.2.12-1+deb10u2
2023-09-22 12:58:24 status unpacked gpgv:amd64 2.2.12-1+deb10u2
2023-09-22 12:58:24 install libgnutls30:amd64 <none> 3.6.7-4+deb10u8
2023-09-22 12:58:24 status half-installed libgnutls30:amd64 3.6.7-4+deb10u8
2023-09-22 12:58:25 status unpacked libgnutls30:amd64 3.6.7-4+deb10u8
2023-09-22 12:58:25 install grep:amd64 <none> 3.3-1
2023-09-22 12:58:25 status half-installed grep:amd64 3.3-1
2023-09-22 12:58:25 status unpacked grep:amd64 3.3-1
2023-09-22 12:58:25 install gzip:amd64 <none> 1.9-3+deb10u1
2023-09-22 12:58:25 status half-installed gzip:amd64 1.9-3+deb10u1
2023-09-22 12:58:25 status unpacked gzip:amd64 1.9-3+deb10u1
2023-09-22 12:58:25 install hostname:amd64 <none> 3.21
2023-09-22 12:58:25 status half-installed hostname:amd64 3.21
2023-09-22 12:58:25 status unpacked hostname:amd64 3.21
2023-09-22 12:58:25 install init-system-helpers:all <none> 1.56+nmu1
2023-09-22 12:58:25 status half-installed init-system-helpers:all 1.56+nmu1
2023-09-22 12:58:25 status unpacked init-system-helpers:all 1.56+nmu1
2023-09-22 12:58:25 install libcap-ng0:amd64 <none> 0.7.9-2
2023-09-22 12:58:25 status half-installed libcap-ng0:amd64 0.7.9-2
2023-09-22 12:58:25 status unpacked libcap-ng0:amd64 0.7.9-2
2023-09-22 12:58:25 install libffi6:amd64 <none> 3.2.1-9
2023-09-22 12:58:25 status half-installed libffi6:amd64 3.2.1-9
2023-09-22 12:58:25 status unpacked libffi6:amd64 3.2.1-9
2023-09-22 12:58:25 install libgcrypt20:amd64 <none> 1.8.4-5+deb10u1
2023-09-22 12:58:25 status half-installed libgcrypt20:amd64 1.8.4-5+deb10u1
2023-09-22 12:58:26 status unpacked libgcrypt20:amd64 1.8.4-5+deb10u1
2023-09-22 12:58:26 install libgpg-error0:amd64 <none> 1.35-1
2023-09-22 12:58:26 status half-installed libgpg-error0:amd64 1.35-1
2023-09-22 12:58:26 status unpacked libgpg-error0:amd64 1.35-1
2023-09-22 12:58:26 install libidn2-0:amd64 <none> 2.0.5-1+deb10u1
2023-09-22 12:58:26 status half-installed libidn2-0:amd64 2.0.5-1+deb10u1
2023-09-22 12:58:26 status unpacked libidn2-0:amd64 2.0.5-1+deb10u1
2023-09-22 12:58:26 install libseccomp2:amd64 <none> 2.3.3-4
2023-09-22 12:58:26 status half-installed libseccomp2:amd64 2.3.3-4
2023-09-22 12:58:26 status unpacked libseccomp2:amd64 2.3.3-4
2023-09-22 12:58:26 install libselinux1:amd64 <none> 2.8-1+b1
2023-09-22 12:58:26 status half-installed libselinux1:amd64 2.8-1+b1
2023-09-22 12:58:26 status unpacked libselinux1:amd64 2.8-1+b1
2023-09-22 12:58:26 install libsemanage-common:all <none> 2.8-2
2023-09-22 12:58:26 status half-installed libsemanage-common:all 2.8-2
2023-09-22 12:58:26 status unpacked libsemanage-common:all 2.8-2
2023-09-22 12:58:26 install libsemanage1:amd64 <none> 2.8-2
2023-09-22 12:58:26 status half-installed libsemanage1:amd64 2.8-2
2023-09-22 12:58:26 status unpacked libsemanage1:amd64 2.8-2
2023-09-22 12:58:26 install libsepol1:amd64 <none> 2.8-1
2023-09-22 12:58:26 status half-installed libsepol1:amd64 2.8-1
2023-09-22 12:58:27 status unpacked libsepol1:amd64 2.8-1
2023-09-22 12:58:27 install libtasn1-6:amd64 <none> 4.13-3
2023-09-22 12:58:27 status half-installed libtasn1-6:amd64 4.13-3
2023-09-22 12:58:27 status unpacked libtasn1-6:amd64 4.13-3
2023-09-22 12:58:27 install libunistring2:amd64 <none> 0.9.10-1
2023-09-22 12:58:27 status half-installed libunistring2:amd64 0.9.10-1
2023-09-22 12:58:27 status unpacked libunistring2:amd64 0.9.10-1
2023-09-22 12:58:27 install libzstd1:amd64 <none> 1.3.8+dfsg-3+deb10u2
2023-09-22 12:58:27 status half-installed libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2023-09-22 12:58:27 status unpacked libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2023-09-22 12:58:27 install liblz4-1:amd64 <none> 1.8.3-1+deb10u1
2023-09-22 12:58:27 status half-installed liblz4-1:amd64 1.8.3-1+deb10u1
2023-09-22 12:58:27 status unpacked liblz4-1:amd64 1.8.3-1+deb10u1
2023-09-22 12:58:27 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2023-09-22 12:58:27 status half-configured mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:27 status unpacked mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:27 status half-installed mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:27 status unpacked mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:27 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u2
2023-09-22 12:58:27 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u2
2023-09-22 12:58:27 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u2
